Sno,Weight
0,0.014954972
1,0.0017475511
2,0.022038225
3,-0.03678862
4,0.015722511
5,-0.044588417
6,0.02071404
7,-0.015648369
8,-0.084223956
9,0.05012179
10,-0.008813159
11,-0.020700542
12,-0.07131206
13,0.02840769
14,-0.016170863
15,-0.01466546
16,0.011714416
17,-0.029856062
18,-0.013838875
19,0.009360452
20,-0.00057469675
21,0.018343734
22,0.004983306
23,-0.031692367
24,-0.027807452
25,0.040379755
26,-0.0944422
27,-0.13341272
28,-0.18049257
29,0.005691544
30,-0.019249773
31,0.038136672
32,0.02592542
33,-0.008056089
34,0.005052489
35,-0.0072125266
36,-0.041897517
37,0.008158694
38,0.014428791
39,-0.04436707
40,-0.010088084
41,0.02065012
42,0.018750925
43,-0.018350797
44,0.021782113
45,-0.07700772
46,-0.0017494807
47,-0.07884218
48,0.022535795
49,-0.03533915
50,-0.0039714705
51,-0.022445247
52,-0.0006659663
53,-0.0061098402
54,0.026100595
55,-0.054254517
56,-0.047759965
57,-0.0067872605
58,-0.059227843
59,-0.05924677
60,-0.0005663809
61,0.0064989054
62,0.03139222
63,0.03808219
64,-0.028461127
65,0.009255595
66,0.028483594
67,0.03902162
68,-0.015528592
69,0.04348405
70,0.0060055093
71,0.0050721625
72,-0.0032013275
73,-0.009857999
74,-0.0016999255
75,0.03804382
76,-0.010619705
77,0.030668361
78,0.0023671836
79,-0.025080299
80,-0.08076606
81,-0.07545887
82,0.02806904
83,-0.0042159753
84,0.019428374
85,0.015943786
86,-0.043457627
87,0.0023732723
88,-0.009402812
89,0.028438998
90,0.01535566
91,-0.018357009
92,-0.0068611163
93,-0.119298264
94,-0.057892427
95,-0.0029672962
96,-0.02821352
97,-0.02241811
98,-0.07252698
99,-0.08568392
100,0.015564676
101,-0.016760187
102,-0.018479723
103,0.014532992
104,0.0014142543
105,-0.0029744592
106,-0.18588683
107,-0.03314661
108,-0.0114287045
109,-0.021343866
110,-0.04313888
111,-0.07516978
112,-0.009316792
113,0.0056679826
114,-0.1649677
115,-0.0048344973
116,0.033523336
117,-0.0044313916
118,0.0006816474
119,0.02140672
120,-0.0010828741
121,-0.03639794
122,0.008568154
123,-0.022382483
124,-0.13027032
125,-0.043295916
126,0.013639368
127,-4.5221805e-05
128,-0.059926376
129,-0.026461933
130,0.10716099
131,0.025934352
132,0.022013992
133,-0.08065303
134,0.0317639
135,-0.0062752794
136,0.0092981495
137,0.049425192
138,-0.038276367
139,-0.08011868
140,-0.020601666
141,0.0052913493
142,-0.018449659
143,-0.0055650603
144,-0.006473183
145,0.006302452
146,-0.21805206
147,-0.20314173
148,0.016851032
149,0.012701769
150,0.0008165497
151,-0.011810539
152,0.022772977
153,-0.018589986
154,-0.10879743
155,-0.07864804
156,-0.07069154
157,-0.019804878
158,-0.024828771
159,0.022265816
160,0.0041746013
161,-0.03369939
162,-0.010576314
163,-0.14368871
164,-0.033778697
165,-0.0011528695
166,-0.027102211
167,-0.019185714
168,0.01999515
169,-0.03329531
170,0.055736035
171,-0.015436117
172,0.119498275
173,-0.10660693
174,-0.043054454
175,0.04599858
176,-0.016181568
177,-0.082848236
178,0.0010023038
179,-0.0041920966
180,0.11592764
181,-0.09921819
182,-0.015501432
183,-0.03406951
184,-0.018920125
185,0.055017438
186,0.14428347
187,-0.09233492
188,-0.002519017
189,-0.00037491208
190,0.016377505
191,-0.10246073
192,0.012649896
193,-0.010897489
194,0.01867414
195,0.039384305
196,-0.058011543
197,0.03726655
198,0.08114807
199,0.02263575
200,-0.14466242
201,-0.0038256678
202,0.039140146
203,0.09857445
204,-0.031862255
205,0.025525022
206,0.045222733
207,-0.11009394
208,-0.06479666
209,-0.052483663
210,0.023440324
211,0.02625516
212,0.012031033
213,0.039795373
214,0.09385142
215,-0.14464758
