Sno,Weight
0,-0.0044815093
1,0.05306714
2,0.0462682
3,0.02771221
4,0.057912607
5,-0.0076006544
6,0.06286067
7,0.06314212
8,0.0466403
9,0.0656742
10,0.06857951
11,0.05267546
12,0.06262437
13,0.07078371
14,0.006412351
15,0.07021064
16,0.018609988
17,-0.0008850136
18,-0.017643884
19,0.0647375
20,0.05020253
21,0.059792876
22,-0.0018347614
23,-0.014145646
24,0.026992077
25,-0.008346553
26,0.059123896
27,0.06401106
28,0.009006357
29,0.06516056
30,0.06972745
31,0.01058154
32,0.07959255
33,0.066154525
34,-0.01843025
35,-0.002358147
36,0.07356685
37,0.0112488605
38,0.0502359
39,-0.011499117
40,-0.009661464
41,0.04686486
42,0.0015528185
43,0.058859058
44,0.028824424
45,0.07615115
46,0.029600265
47,0.039900582
48,0.04455098
49,0.033096187
50,0.0015400752
51,0.026012732
52,0.07393475
53,0.024161737
54,-0.020160085
55,0.069704145
56,-0.01861825
57,-0.013605182
58,0.007076018
59,0.06714519
60,-0.011655584
61,-0.009190903
62,0.05934503
63,0.062748626
64,-0.019631809
65,-0.0064566284
66,0.06849752
67,0.05668536
68,-0.0128063755
69,0.020978386
70,-0.014216678
71,0.06983811
72,0.0030773282
73,0.04581801
74,0.06728076
75,0.031049754
76,0.05835325
77,0.08053476
78,0.050461818
79,-0.013823556
80,0.054227818
81,-0.0025603
82,-0.0077912817
83,0.043694187
84,-0.007925601
85,0.013776876
86,0.058296885
87,0.015722657
88,-0.002039919
89,0.004544912
90,-0.016488701
91,-0.0027279689
92,0.015605939
93,0.03584999
94,0.03820582
95,0.055393644
96,0.013584051
97,0.04925522
98,0.062489692
99,0.062248696
100,0.025919626
101,0.05719165
102,0.05556095
103,0.03849111
104,0.009687246
105,0.03165382
106,0.043412425
107,0.07186434
108,-0.0013613057
109,0.07171256
110,0.018073887
111,0.06836499
112,0.060300767
113,-0.010946201
114,0.016121816
115,0.044721406
116,-0.0034280394
117,0.0628201
118,-0.012709186
119,0.0688911
120,0.04082836
121,-0.019550107
122,-0.01608941
123,0.060704343
124,0.07020332
125,0.0047386163
126,0.049470805
127,-0.011672755
128,0.0685088
129,-0.012569362
130,0.07047546
131,0.028969333
132,0.03502005
133,0.049537838
134,0.0049234144
135,0.074061126
136,0.07672041
137,-0.0034004264
138,-0.006732108
139,0.009893799
140,0.020503327
141,0.055420507
142,0.051123638
143,-0.008267404
144,0.06397005
145,0.0314247
146,0.016645955
147,0.057031114
148,0.03733992
149,0.029918512
150,-0.004593427
151,0.06795438
152,0.048552264
153,0.04819005
154,0.07396113
155,0.0051060864
156,0.0020079878
157,0.029773183
158,0.012630746
159,0.0275521
160,0.02006774
161,0.03555723
162,0.020948928
163,0.071844056
164,0.071734354
165,0.060047787
166,0.06937378
167,0.050342925
168,0.043507595
169,0.05647278
170,-0.0019158394
171,0.011261718
172,0.012270671
173,-0.0176133
174,0.07264146
175,0.04184519
176,-0.011576707
177,0.07435874
178,0.073588446
179,0.04684261
180,0.029008733
181,-0.024418082
182,0.041296165
183,0.02790086
184,0.00087938405
185,0.07222562
186,0.049662266
187,-0.012110078
188,0.047914542
189,0.04292152
190,0.018605627
191,0.07387957
192,0.07234419
193,0.05116039
194,-0.020407965
195,0.013769951
196,-0.006996965
197,0.06972287
198,0.057832975
199,0.0012977032
200,0.012885444
201,-0.0036845668
202,0.017623061
203,0.06904456
204,0.045033034
205,-0.017050998
206,0.054289646
207,-0.015784407
208,0.04934004
209,0.010740264
210,-0.029356316
211,0.024406012
212,0.0136971455
213,0.030452743
214,0.021539683
215,0.018388378
216,0.05191773
217,0.026199851
218,0.056242328
219,0.051638402
220,0.07383459
221,0.064808704
222,0.032676198
223,0.056214657
224,-0.011996699
225,0.008768016
226,0.041125126
227,-0.0018765953
228,0.042909533
229,0.07943704
230,-0.011668426
231,0.0744816
232,-0.030324766
233,0.048985276
234,0.018344367
235,0.06341329
236,0.0002898813
237,0.07752618
238,0.04710033
239,0.061525647
240,0.00058857875
241,0.04885037
242,0.008929265
243,0.053216517
244,0.07046527
245,-0.016767016
246,0.049048275
247,0.05576408
248,0.049319405
249,0.03580307
250,0.066096276
251,0.032743704
252,0.019136345
253,0.063194506
254,0.0764999
255,-0.0062617557
