Sno,Weight
0,-0.063266404
1,0.023009516
2,0.0301785
3,-0.034788832
4,-0.06558525
5,0.047961887
6,0.027122468
7,0.051733892
8,-0.11831539
9,0.006982408
10,0.064162634
11,0.13870333
12,-0.028810598
13,-0.010372395
14,0.0811533
15,0.031727266
16,0.029952306
17,0.105361626
18,0.026231164
19,-0.03183384
20,0.015414288
21,-0.01479643
22,0.04808072
23,0.04480164
24,0.04019848
25,-0.11242826
26,0.032800782
27,0.0014679093
28,0.049536534
29,0.028326279
30,0.12624936
31,0.055112325
32,-0.09215294
33,0.018119192
34,0.16496527
35,0.034597285
36,0.07062251
37,-0.079885386
38,0.07812415
39,-0.11872102
40,0.04171171
41,0.045734644
42,0.04491809
43,0.05466154
44,0.034081206
45,0.043182388
46,-0.020794066
47,0.019138735
48,0.04682926
49,0.043101225
50,-0.045632076
51,0.051678147
52,-0.14074281
53,0.01813751
54,0.035749197
55,0.03255794
56,0.0018493889
57,-0.009064116
58,0.011284811
59,0.029123837
60,0.044154987
61,-0.018314345
62,0.0012812677
63,0.048949014
64,-0.15075341
65,0.04243209
66,0.16409053
67,-0.034566283
68,-0.01829241
69,0.041903004
70,0.0509078
71,-0.12556712
72,0.0065817726
73,-0.034122035
74,0.15756945
75,-0.006677827
76,-0.031103255
77,0.067953184
78,0.010627922
79,-0.0036486674
80,0.06690644
81,0.037962474
82,0.077017
83,0.123380825
84,0.03638469
85,0.056232337
86,0.04967331
87,-0.0630552
88,-0.04112876
89,-0.10997836
90,-0.007628901
91,0.055884775
92,0.040768977
93,0.07914952
94,0.031408023
95,0.03987651
96,-0.053106144
97,0.083127685
98,-0.0062120035
99,0.07246844
100,0.051543526
101,-0.13914265
102,0.13834342
103,0.062468313
104,0.0500371
105,0.03047694
106,0.026643112
107,0.0672182
108,-0.0019749794
109,0.050050884
110,-0.0036439877
111,-0.053834837
112,-0.18139824
113,0.03543589
114,0.06570478
115,-0.058619153
116,0.018656706
117,0.0514128
118,0.05961434
119,0.0015060395
120,0.044489473
121,0.042767182
122,-0.015284165
123,-0.008097303
124,0.07083346
125,0.03179035
126,-0.034700487
127,0.03480831
128,-0.07386023
129,0.047009427
130,0.015244914
131,-0.004748459
132,-0.10140318
133,-0.10087062
134,-0.0045354078
135,0.03341563
136,-0.04406643
137,-0.0012083373
138,-0.01373654
139,-0.008038333
140,0.077908516
141,-0.019353976
142,0.00084697385
143,-0.022034254
144,-0.0141228875
145,-0.0034598263
146,-0.0055681327
147,-0.07989739
148,0.010274167
149,-0.0952594
150,-0.0129399635
151,0.02847815
152,0.0005041436
153,-0.04334619
154,0.012776622
155,-0.00549385
156,-0.093760334
157,0.0073015983
158,0.033348657
159,-0.05543465
160,-0.012039353
161,-0.05897312
162,-0.021812277
163,-0.032957748
164,-0.02355188
165,-0.035123795
166,-0.009788373
167,-0.020578338
168,0.024483051
169,0.012300551
170,0.027183233
171,0.013574668
172,-0.03052028
173,0.0058242576
174,0.033530787
175,-0.011613148
176,0.004537278
177,0.0076693613
178,0.06488837
179,-0.0059459466
180,-0.026827699
181,-0.015114664
182,-0.020723736
183,0.017965686
184,-0.050812144
185,-0.0046749664
186,-0.08685846
187,0.008374146
188,-0.010617999
189,-0.10413932
190,-0.038244907
191,0.020183394
192,-0.039202265
193,0.01595145
194,-0.01103702
195,-0.010982382
196,-0.0161918
197,0.020756919
198,-0.0068006665
199,-0.002116544
200,0.031952683
201,-0.014763618
202,-0.002309978
203,0.022597846
204,-0.028804429
205,0.010450546
206,-0.025211306
207,-0.0031531744
208,-0.011798961
209,0.006553396
210,-0.04546244
211,-0.0952774
212,0.0071430258
213,0.029917272
214,0.010768772
215,-0.07632127
216,-0.030123945
217,-0.069986306
218,0.028511953
219,0.0011239058
220,0.026558677
221,-0.015902784
222,0.050523024
223,-0.027209664
224,-0.021073274
225,-0.027608205
226,-0.039133526
227,-0.064193636
228,0.0051350817
229,0.0009506328
230,-0.011550009
231,-0.031113155
232,0.016897213
233,5.086841e-05
234,0.015198383
235,0.011360417
236,-0.017466964
237,-0.035779554
238,-0.014349649
239,-0.0068527623
240,-0.043408684
241,-0.014180561
242,-0.019395161
243,0.017825965
244,-0.01472767
245,-0.09349501
246,-0.03536629
247,0.005522928
248,-0.02892694
249,-0.00799769
250,-0.058431186
251,0.011135682
