Sno,Weight
0,-0.040572435
1,0.006490165
2,-0.075291544
3,-0.006843769
4,0.014824097
5,0.011413177
6,-0.073072456
7,-0.028641982
8,-0.024184776
9,-0.009441016
10,0.022592649
11,0.05107953
12,0.0021543256
13,-0.0048939623
14,0.032747544
15,-0.0016835149
16,0.003120015
17,-0.04385202
18,-0.020576349
19,0.058022752
20,-0.019704117
21,-0.017893722
22,0.015134246
23,-0.0029209082
24,-0.023492752
25,-0.021463936
26,-0.026524773
27,0.0162441
28,0.040327564
29,-0.04331238
30,0.0021925143
31,0.01739139
32,0.011750195
33,-0.076052785
34,-0.08603151
35,0.02726129
36,0.0105668055
37,0.018976388
38,-0.040616892
39,0.0033281194
40,0.00047436974
41,0.0009376574
42,0.040452514
43,-0.0110295685
44,0.015762445
45,0.008219317
46,-0.051311
47,-0.046423644
48,-0.010402733
49,0.04307312
50,-0.0011751248
51,0.029578658
52,-0.0046138526
53,0.047865167
54,0.0052266344
55,-0.048132524
56,-0.038284075
57,-0.040401194
58,-0.0432737
59,0.038821295
60,0.008503608
61,0.022423157
62,0.019245032
63,-0.036703136
64,-0.012810191
65,0.011185236
66,0.033517905
67,0.037074756
68,-0.016734477
69,0.013502767
70,0.029015804
71,0.051669367
72,-0.064245984
73,-0.005152392
74,-0.035121497
75,0.029748363
76,0.023373935
77,-0.044867463
78,0.05698115
79,0.042685438
80,0.002315571
81,0.020132523
82,-0.048099697
83,-0.029368745
84,0.026634958
85,-0.045577116
86,-0.010314316
87,0.029053122
88,-0.013067889
89,0.019318419
90,-0.02293565
91,0.033477414
92,-0.04678379
93,-0.0373724
94,0.0035924704
95,-0.04994
96,0.026993066
97,-0.03614323
98,-0.06440704
99,0.035144046
100,-0.027458036
101,-0.05589409
102,-0.04912278
103,-0.023279302
104,-0.011242049
105,-0.06078092
106,0.004504889
107,0.02740184
108,0.0054678437
109,-0.07728761
110,0.0007386613
111,0.004725824
112,-0.06775443
113,0.05196494
114,-0.08655413
115,0.018647162
116,-0.053680148
117,-0.022574838
118,0.003161343
119,0.008553082
120,-0.06958236
121,0.008852316
122,-0.043165397
123,-0.02347997
124,0.014309687
125,-0.07016247
126,-0.04408349
127,0.03749311
128,-0.017671494
129,-0.0474396
130,-0.004263962
131,-0.04116008
132,-0.03912951
133,0.02396679
134,0.019247793
135,0.0018130394
136,0.017279482
137,-0.018069712
138,-0.058371246
139,0.0024306998
140,0.025197458
141,-0.04502968
142,0.015108343
143,0.026012788
144,-0.018069256
145,0.0039244676
146,0.022655828
147,-0.0241666
148,0.009007516
149,-0.065470725
150,0.039640713
151,-0.042329468
152,0.015876496
153,-0.011109945
154,0.045947183
155,-0.05639941
156,0.016234264
157,-0.04819356
158,0.040920816
159,-0.08599046
160,0.0019309609
161,-0.050965164
162,-0.010202723
163,0.008868888
164,0.024343675
165,-0.014247453
166,0.00031327095
167,0.041896004
168,-0.0014596088
169,-0.031595435
170,-0.0032095634
171,0.025708245
172,-0.022883458
173,0.0011098487
174,-0.032482788
175,-0.03602305
176,0.043972142
177,0.020339709
178,-0.0534682
179,0.014913378
180,0.006252135
181,0.04970127
182,-0.007635496
183,0.047229096
184,-0.006171674
185,-0.08412838
186,-0.04637691
187,-0.025212238
188,0.02421427
189,-0.02831975
190,-0.019529773
191,-0.06875455
192,0.017656779
193,-0.025981873
194,0.02760388
195,0.00421105
196,0.009803588
197,0.047158763
198,-0.0051027793
199,-0.015431753
200,0.010670342
201,-0.08726573
202,0.0045440006
203,-0.0024785902
204,-0.0987405
205,-0.0001022138
206,-0.011734514
207,0.03505595
208,0.032248132
209,-0.031609476
210,-0.06008999
211,-0.0033033607
212,0.02925975
213,-0.014974718
214,-0.007841909
215,-0.0057736835
216,0.02118803
217,-0.07079442
218,-0.037803166
219,-0.03040853
220,-0.050142776
221,0.026439175
222,0.0058471034
223,-0.04690852
224,-0.003888729
225,-0.00326663
226,-0.0049812617
227,0.014949428
228,-0.05446343
229,0.010386611
230,0.029087996
231,-0.055674512
232,-0.051419575
233,0.056381155
234,0.019333638
235,0.022632305
236,-0.0028134065
237,-0.04634082
238,0.04241318
239,0.040891882
240,0.055656068
241,0.053213138
242,-0.052358564
243,-0.039380558
244,-0.04637039
245,0.0038912208
246,-0.037584007
247,-0.046251137
248,0.015984664
249,0.031179523
250,0.05125512
251,0.03226796
252,0.026051626
253,0.04184865
254,0.0047762855
255,0.0044389544
256,-0.054706153
257,0.028319031
258,0.14579374
259,0.069147184
260,0.015617091
261,0.04460077
262,0.06025809
263,0.024553834
264,-0.012047722
265,-0.07357011
266,-0.07285939
267,-0.090328194
268,0.034574475
269,0.021202506
270,0.0532114
271,-0.012144817
272,0.065408885
273,0.04325851
274,0.03958373
275,-0.053854745
276,0.062148485
277,0.03652392
278,0.02732777
279,0.01813291
280,0.018588254
281,-0.056005437
282,-0.021419546
283,0.03341593
284,-0.06823993
285,-0.043514993
286,0.04718616
287,-0.0021370035
288,-0.017834743
289,-0.07021136
290,-0.00053016725
291,0.038406335
292,0.029359566
293,0.032082383
294,0.051379915
295,0.015916094
296,0.054478515
297,-0.030064315
298,0.03786538
299,0.040714186
300,0.06164558
301,0.030970423
302,-0.051676188
303,0.05064871
304,0.025413863
305,0.03187555
306,0.03613779
307,0.044254135
308,0.037458785
309,-0.06993181
310,-0.045396287
311,0.028367987
312,0.09941679
313,0.032508336
314,0.030998457
315,-0.0067325723
316,-0.073260024
317,-0.008219206
318,-0.025381533
319,0.052102275
320,-0.06260208
321,0.041882265
322,0.013393385
323,0.039313745
324,0.038475864
325,0.027889343
326,-0.009142157
327,0.014844381
328,-0.064387664
329,-0.06953837
330,0.040970556
331,0.0401305
332,-0.054125864
333,0.028679892
334,0.0056597805
335,-0.070596136
336,0.063012846
337,0.026868938
338,-0.054634657
339,-0.00047717826
340,0.037230916
341,-0.034691006
342,-0.0644546
343,0.034214623
344,0.06055853
345,-0.006672238
346,-0.022768604
347,0.025880272
348,0.04595636
349,-0.037133966
350,0.02809314
