Sno,Weight
0,0.00622663
1,-0.035164215
2,0.0025678044
3,-0.0041300883
4,-0.036023315
5,-0.0076583745
6,0.008343566
7,-0.0033864207
8,-0.07161379
9,0.019876316
10,0.021768453
11,-0.05887597
12,-0.002382539
13,0.004301031
14,-0.016855273
15,0.000973228
16,0.009489037
17,-0.039140888
18,-0.0057617053
19,0.006629653
20,-0.024678737
21,0.021255203
22,0.039662093
23,0.03229852
24,-0.01153068
25,-0.023402361
26,0.035664026
27,-0.15286832
28,0.036146194
29,0.012676285
30,-0.029977106
31,0.03966097
32,-0.066913135
33,-0.022738216
34,-0.012443138
35,-0.04073631
36,-0.0010130033
37,0.0040923534
38,-0.023691934
39,-0.03488707
40,0.0043146554
41,0.013916129
42,0.060506016
43,-0.02511497
44,0.026017405
45,0.020953663
46,0.04323865
47,0.018824112
48,0.07884296
49,-0.013187971
50,-0.07169933
51,-0.015469518
52,-0.0985282
53,-0.00043926583
54,-0.030688468
55,-0.0021459574
56,0.009997893
57,0.013448969
58,-0.08422182
59,-0.06436711
60,-0.0461345
61,0.03616155
62,0.00407306
63,-0.040197734
64,0.0030513788
65,-0.002893411
66,0.01085155
67,-0.014831536
68,-0.006963406
69,-0.05174919
70,0.020947373
71,0.022955079
72,0.0023714772
73,0.0057522375
74,-0.021321898
75,-0.03944779
76,-0.028508294
77,-0.060408227
78,-0.02186049
79,-0.0071897805
80,-0.013255406
81,-0.13217491
82,0.016627815
83,0.007552479
84,-0.0002938683
85,0.00364652
86,-0.026927397
87,-0.009974269
88,-0.05434723
89,-0.015762882
90,-0.057142027
91,-0.07922128
92,-0.0024385825
93,-0.0199605
94,-0.019303903
95,-0.00335815
96,-0.09135185
97,0.02606634
98,0.0020950912
99,-0.0148261245
100,-0.011608496
101,-0.054939166
102,-0.008114578
103,0.0025422059
104,-0.052258134
105,-0.037931334
106,0.014476017
107,-0.007136016
108,-0.05070252
109,0.05151129
110,-0.048888564
111,-0.058914367
112,0.030517748
113,-0.0054337615
114,0.010838918
115,0.008249003
116,-0.053457804
117,-0.023359396
118,0.0054328605
119,0.0831299
120,-0.0067241136
121,0.003602043
122,-8.4919855e-05
123,0.014543344
124,-0.007873425
125,-0.0035619736
126,0.025377316
127,-0.012493009
128,0.012366324
129,-0.0071488633
130,0.0029998221
131,-0.029650925
132,0.017012626
133,-0.025176853
134,-0.083539605
135,0.023958595
136,-0.040864006
137,0.038116362
138,-0.012489016
139,0.078414306
140,-0.01913968
141,0.025376786
142,0.0082575735
143,-0.022719214
144,-0.14852981
145,-0.009185643
146,-0.010104906
147,0.031231396
148,-0.0144787375
149,-0.01186574
150,0.023235941
151,-0.02447003
152,0.03803782
153,0.075474374
154,0.0069927494
155,0.19503285
156,-0.09774793
157,-0.014586189
158,0.020512758
159,0.06480678
160,-0.03571766
161,-0.018634891
162,-0.021621512
163,0.034823906
164,0.01800368
165,-0.07805108
166,-0.009905984
167,0.013123219
168,-0.003138398
169,0.02331657
170,0.08047794
171,0.023927303
172,0.04359111
173,-0.020490238
174,0.035311185
175,-0.010009662
176,0.018247513
177,-0.0219244
178,-0.033087436
179,-0.036013015
180,0.020635251
181,0.0037938084
182,0.07398672
183,-0.025861047
184,-0.005175085
185,-0.015401235
186,-0.04139949
187,-0.04701256
188,-0.028249305
189,0.011950726
190,-0.010123579
191,-0.0085627865
192,-0.030132331
193,-0.03702382
194,0.0037489675
195,0.016388513
196,-0.033925846
197,0.000626846
198,-0.05636344
199,-0.023844603
200,0.009848304
201,0.04182805
202,0.041836906
203,0.017061865
204,0.051852893
205,-0.021581935
206,-0.0003870409
207,0.032868173
208,0.001201084
209,-0.14585447
210,-0.016098471
211,0.0033814933
212,-0.010796208
213,-0.01534498
214,-0.0603485
215,-0.025292432
216,-0.01404326
217,-0.002887198
218,-0.05905003
219,-0.0519711
220,-0.01039553
221,-0.025188444
222,-0.06258605
223,-0.0059876544
224,0.024281144
225,-0.025753269
226,0.048707813
227,0.0043588565
228,-0.0055027804
229,-0.024018886
230,0.026734354
231,0.012975161
232,-0.074598715
233,0.037050612
234,-0.022907315
235,0.035258014
236,-0.05124808
237,-0.027572107
238,0.017604114
239,-0.035097618
240,-0.00353671
241,-0.025829747
242,-0.0054318183
243,0.022660078
244,0.0036080733
245,-0.021081641
246,-0.014923616
247,0.010993599
248,0.016711995
249,0.006373268
250,-0.026950361
251,-0.010634558
252,-0.046782233
253,-0.033766832
254,0.038800932
255,-0.0853506
256,0.010049867
257,0.025302399
258,0.0016613214
259,-0.0677458
260,0.059591126
261,0.032697685
262,-0.0094998535
263,0.04723709
264,-0.008131439
265,0.073847376
266,0.0037906927
267,0.05163119
268,0.012734095
269,0.058368437
270,-0.11800213
271,0.02082405
272,-0.0151797915
273,-0.042474877
274,0.009030063
275,-0.012434006
276,0.01560736
277,0.03136746
278,0.04466798
279,0.047782328
280,0.019296352
281,-0.058348313
282,0.039834034
283,0.11915479
284,-0.0347165
285,0.041830268
286,0.092466556
287,0.050632432
288,-0.013426263
289,0.02577239
290,-0.006003469
291,0.018136792
292,0.018773658
293,-0.029157504
294,0.02781398
295,-0.083463125
296,0.0102918185
297,0.0068537765
298,0.0827745
299,0.065995835
300,0.04414667
301,-0.011482677
302,0.037994973
303,0.06949625
304,-0.046440322
305,-0.013556238
306,-0.019148232
307,-0.0056935977
308,-0.052205104
309,-0.00779814
310,0.011637475
311,-0.007232577
312,0.019355297
313,0.009304927
314,-0.0989815
315,0.0075195725
316,-0.0069652903
317,0.042511154
318,0.020880224
319,0.047304578
320,0.040205177
321,0.02967748
322,0.0029174783
323,0.051387995
324,0.030834103
325,0.07097108
326,-0.030588124
327,0.038565613
328,0.033240695
329,0.011521358
330,0.068568386
331,0.035225153
332,0.041640215
333,-0.024345888
